"party_label","party_votes","prefs","pref_ratio","cand_label","cand_num","protocol"
"БСП ЗА БЪЛГАРИЯ ","39","28","0.718","Георги Стоянов Маринчешки ","104","https://results.cik.bg/ns2023/protokoli/64/17/173300001.1.html"
"КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ ","117","101","0.863","Нихат Ахмед Расим ","103","https://results.cik.bg/ns2023/protokoli/64/18/181100001.1.html"
"КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ ","104","83","0.798","Нихат Ахмед Расим ","103","https://results.cik.bg/ns2023/protokoli/64/18/181100002.1.html"
"КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ ","88","66","0.75","Нихат Ахмед Расим ","103","https://results.cik.bg/ns2023/protokoli/64/18/181100003.1.html"
"КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ ","87","72","0.828","Нихат Ахмед Расим ","103","https://results.cik.bg/ns2023/protokoli/64/18/181100004.1.html"
"ГЕРБ-СДС ","55","45","0.818","Гюнай Хюсмен Хюсмен ","102","https://results.cik.bg/ns2023/protokoli/64/18/181100006.1.html"
"ГЕРБ-СДС ","58","44","0.759","Гюнай Хюсмен Хюсмен ","102","https://results.cik.bg/ns2023/protokoli/64/18/181100013.1.html"
"КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ ","92","72","0.783","Нихат Ахмед Расим ","103","https://results.cik.bg/ns2023/protokoli/64/18/181100013.1.html"
"КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ ","43","38","0.884","Нихат Ахмед Расим ","103","https://results.cik.bg/ns2023/protokoli/64/18/181100014.1.html"
"ГЕРБ-СДС ","99","76","0.768","Гюнай Хюсмен Хюсмен ","102","https://results.cik.bg/ns2023/protokoli/64/18/181400003.1.html"
"ГЕРБ-СДС ","79","57","0.722","Гюнай Хюсмен Хюсмен ","102","https://results.cik.bg/ns2023/protokoli/64/18/181400004.1.html"
"ГЕРБ-СДС ","31","23","0.742","Гюнай Хюсмен Хюсмен ","102","https://results.cik.bg/ns2023/protokoli/64/18/181400006.1.html"
"ГЕРБ-СДС ","80","69","0.863","Гюнай Хюсмен Хюсмен ","102","https://results.cik.bg/ns2023/protokoli/64/18/181400007.1.html"
"ГЕРБ-СДС ","88","62","0.705","Гюнай Хюсмен Хюсмен ","102","https://results.cik.bg/ns2023/protokoli/64/18/181400016.1.html"
"ГЕРБ-СДС ","229","205","0.895","Гюнай Хюсмен Хюсмен ","102","https://results.cik.bg/ns2023/protokoli/64/18/181400017.1.html"
"ГЕРБ-СДС ","44","31","0.705","Гюнай Хюсмен Хюсмен ","102","https://results.cik.bg/ns2023/protokoli/64/18/181400018.1.html"
"ГЕРБ-СДС ","72","54","0.75","Гюнай Хюсмен Хюсмен ","102","https://results.cik.bg/ns2023/protokoli/64/18/181400020.1.html"
"ГЕРБ-СДС ","93","80","0.86","Гюнай Хюсмен Хюсмен ","102","https://results.cik.bg/ns2023/protokoli/64/18/181400023.1.html"
"ГЕРБ-СДС ","68","58","0.853","Гюнай Хюсмен Хюсмен ","102","https://results.cik.bg/ns2023/protokoli/64/18/181400026.1.html"
"ГЕРБ-СДС ","99","80","0.808","Гюнай Хюсмен Хюсмен ","102","https://results.cik.bg/ns2023/protokoli/64/18/181400032.1.html"
"ГЕРБ-СДС ","92","73","0.793","Гюнай Хюсмен Хюсмен ","102","https://results.cik.bg/ns2023/protokoli/64/18/181400035.1.html"
"КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ ","38","28","0.737","Нихат Ахмед Расим ","103","https://results.cik.bg/ns2023/protokoli/64/18/181600007.1.html"
"ГЕРБ-СДС ","54","39","0.722","Гюнай Хюсмен Хюсмен ","102","https://results.cik.bg/ns2023/protokoli/64/18/181600008.1.html"
"ГЕРБ-СДС ","54","40","0.741","Десислава Вълчева Атанасова ","101","https://results.cik.bg/ns2023/protokoli/64/18/181600026.1.html"
"ГЕРБ-СДС ","70","50","0.714","Георги Николаев Кръстев ","102","https://results.cik.bg/ns2023/protokoli/64/19/190400017.1.html"
"ГЕРБ-СДС ","35","26","0.743","Драгомир Дамянов Драганов ","105","https://results.cik.bg/ns2023/protokoli/64/19/190800012.1.html"
"БСП ЗА БЪЛГАРИЯ ","83","71","0.855","Ивалинка Тодорова Цанкова ","102","https://results.cik.bg/ns2023/protokoli/64/19/191300008.1.html"
"БСП ЗА БЪЛГАРИЯ ","43","38","0.884","Ивалинка Тодорова Цанкова ","102","https://results.cik.bg/ns2023/protokoli/64/19/191300009.1.html"
"Движение за права и свободи – ДПС ","55","44","0.8","Ализан Нихат Яхова ","101","https://results.cik.bg/ns2023/protokoli/64/19/192700171.1.html"
"ГЕРБ-СДС ","65","59","0.908","Георги Николаев Кръстев ","102","https://results.cik.bg/ns2023/protokoli/64/19/193300004.1.html"
"ГЕРБ-СДС ","140","112","0.8","Ибрям Алиев Мустафов ","106","https://results.cik.bg/ns2023/protokoli/64/21/211100017.1.html"
"ГЕРБ-СДС ","44","33","0.75","Ибрям Алиев Мустафов ","106","https://results.cik.bg/ns2023/protokoli/64/21/211100021.1.html"
"ВЪЗРАЖДАНЕ ","41","32","0.78","Климент Пламенов Шопов ","101","https://results.cik.bg/ns2023/protokoli/64/21/212000082.1.html"
"КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ ","43","31","0.721","Татяна Славова Султанова-Сивева ","101","https://results.cik.bg/ns2023/protokoli/64/21/212000082.1.html"
"ГЕРБ-СДС ","141","118","0.837","Мария Щерева Белова ","102","https://results.cik.bg/ns2023/protokoli/64/21/212000160.1.html"
"ГЕРБ-СДС ","99","78","0.788","Мария Щерева Белова ","102","https://results.cik.bg/ns2023/protokoli/64/21/212000161.1.html"
"ГЕРБ-СДС ","79","68","0.861","Мария Щерева Белова ","102","https://results.cik.bg/ns2023/protokoli/64/21/212000162.1.html"
"ГЕРБ-СДС ","91","72","0.791","Мария Щерева Белова ","102","https://results.cik.bg/ns2023/protokoli/64/21/212000165.1.html"
"ГЕРБ-СДС ","127","89","0.701","Чавдар Борисов Божурски ","105","https://results.cik.bg/ns2023/protokoli/64/21/212000172.1.html"
"ГЕРБ-СДС ","47","33","0.702","Мария Щерева Белова ","102","https://results.cik.bg/ns2023/protokoli/64/21/212000181.1.html"
"ПП БЪЛГАРСКИ ВЪЗХОД ","35","25","0.714","Златица Митева Кунева ","103","https://results.cik.bg/ns2023/protokoli/64/21/212000184.1.html"
"ГЕРБ-СДС ","52","41","0.788","Красимир Росенов Даскалов ","103","https://results.cik.bg/ns2023/protokoli/64/22/220900008.1.html"
"ГЕРБ-СДС ","39","30","0.769","Красимир Росенов Даскалов ","103","https://results.cik.bg/ns2023/protokoli/64/22/220900010.1.html"
"ГЕРБ-СДС ","110","84","0.764","Красимир Росенов Даскалов ","103","https://results.cik.bg/ns2023/protokoli/64/22/220900013.1.html"
